status url redirect,status,url,redirect,suggested
Error http://www.uea.ac.uk/~acsoe/welcome.html,Error,http://www.uea.ac.uk/~acsoe/welcome.html,,https://catalogue.ceda.ac.uk/uuid/4f7d5e42f95641c1a908eae9ce25bd3e
Error http://www.vaisala.com/en/Pages/default.aspx,Error,http://www.vaisala.com/en/Pages/default.aspx,,https://www.vaisala.com
Error http://www.wcrp-climate.org/wgcm-cmip/wgcm-cmip6,Error,http://www.wcrp-climate.org/wgcm-cmip/wgcm-cmip6,,https://www.wcrp-climate.org/wgcm-cmip/wgcm-cmip6
Error https://www.force11.org/datacitation,Error,https://www.force11.org/datacitation,,https://www.force11.org/
Error https://www.openaire.eu/en/component/content/article/9-news-events/432-interoperability-workshop-uminho-78-february-2013,Error,https://www.openaire.eu/en/component/content/article/9-news-events/432-interoperability-workshop-uminho-78-february-2013,,https://www.openaire.eu/openaire-interoperability-workshop-presentations-a-recordings-online?highlight=WyJpbnRlcm9wZXJhYmlsaXR5IiwiJ2ludGVyb3BlcmFiaWxpdHknIiwid29ya3Nob3AiLCJpbnRlcm9wZXJhYmlsaXR5IHdvcmtzaG9wIl0=
Redirected http://arsf-dan.nerc.ac.uk/ https://nerc-arf-dan.pml.ac.uk/,Redirected,http://arsf-dan.nerc.ac.uk/,https://nerc-arf-dan.pml.ac.uk/,
Redirected http://arsf-dan.nerc.ac.uk/trac/wiki/Reports https://nerc-arf-dan.pml.ac.uk/trac/wiki/Reports,Redirected,http://arsf-dan.nerc.ac.uk/trac/wiki/Reports,https://nerc-arf-dan.pml.ac.uk/trac/wiki/Reports,
Redirected http://arsf.nerc.ac.uk/ http://arsf.nerc.ac.uk/index.asp?cookieConsent=A,Redirected,http://arsf.nerc.ac.uk/,http://arsf.nerc.ac.uk/index.asp?cookieConsent=A,
Redirected http://badc.nerc.ac.uk https://archive.ceda.ac.uk/,Redirected,http://badc.nerc.ac.uk,https://archive.ceda.ac.uk/,
Redirected http://badc.nerc.ac.uk/ https://archive.ceda.ac.uk/,Redirected,http://badc.nerc.ac.uk/,https://archive.ceda.ac.uk/,
Redirected http://badc.nerc.ac.uk/data/active/ https://catalogue.ceda.ac.uk/uuid/e3a65c1b11972f7b291f1ed4397e77c8,Redirected,http://badc.nerc.ac.uk/data/active/,https://catalogue.ceda.ac.uk/uuid/e3a65c1b11972f7b291f1ed4397e77c8,
Redirected http://badc.nerc.ac.uk/data/bolton/ https://catalogue.ceda.ac.uk/uuid/569bc9a4b454f779e8a11e9ed3f621ef,Redirected,http://badc.nerc.ac.uk/data/bolton/,https://catalogue.ceda.ac.uk/uuid/569bc9a4b454f779e8a11e9ed3f621ef,
Redirected http://badc.nerc.ac.uk/data/chilbolton/ https://catalogue.ceda.ac.uk/uuid/7cbc3fc19bfa037a48ba4cba4b93544d,Redirected,http://badc.nerc.ac.uk/data/chilbolton/,https://catalogue.ceda.ac.uk/uuid/7cbc3fc19bfa037a48ba4cba4b93544d,
Redirected http://badc.nerc.ac.uk/data/claus/ https://catalogue.ceda.ac.uk/uuid/37e1193a2369aff54d22a40ac402030b,Redirected,http://badc.nerc.ac.uk/data/claus/,https://catalogue.ceda.ac.uk/uuid/37e1193a2369aff54d22a40ac402030b,
